Product,Image,URL,Energiaväärtus (kJ),Energiaväärtus (kcal),Rasvad (g),millest küllastunud rasvhapped (g),Süsivesikud (g),millest suhkrud (g),Kiudained (g),Valgud (g),Sool (g),Category
McMuffin™ sealiha ja munaga,https://mcdonalds.ee/wp-content/uploads/2019/07/0000s_0006_McD_web2021_Beakfast-Muffin-PorkEgg.jpg,https://mcdonalds.ee/tooted/mcmuffin-sealiha-ja-munaga/,1812,434,25,11,26,2.7,1.6,25,1.8,Hommikueine
McMuffin™ sealihaga,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Beakfast-Muffin-Pork.png,https://mcdonalds.ee/tooted/mcmuffin-sealihaga/,1439,344,18,8.5,26,2.5,1.6,18,1.7,Catch Products
McToast™ topelt juustuga,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Beakfast-Toast2xcheese.png,https://mcdonalds.ee/tooted/mctoast-topelt-juustuga/,1041,248,10.0,5.6,28,5.6,2.0,10,1.5,Catch Products
Hommiku McWrap™ kana ja peekoniga,https://mcdonalds.ee/wp-content/uploads/2019/07/0000s_0002_McD_web2021_Beakfast-Wrap-ChickenBacon.jpg,https://mcdonalds.ee/tooted/hommiku-mcwrap-kana-ja-peekoniga/,2046,489,26.0,7.6,44,3.4,2.9,18.0,3.0,Hommikueine
McMuffin™ munaga,https://mcdonalds.ee/wp-content/uploads/2019/12/McD_web2021_Beakfast-Muffin-Egg.png,https://mcdonalds.ee/tooted/mcmuffin-munaga/,1209,289,13.0,,26,2.3,1.6,16.0,1.2,Catch Products
Hommiku McWrap™ sealiha ja munaga,https://mcdonalds.ee/wp-content/uploads/2019/07/0000s_0001_McD_web2021_Beakfast-Wrap-PorkEgg.jpg,https://mcdonalds.ee/tooted/hommiku-mcwrap-sealiha-ja-munaga/,2335,560,36.0,13,35,3.7,2.2,23.0,3.30,Hommikueine
McToast™ peekoni ja juustuga,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Beakfast-Toast-BaconCheese.png,https://mcdonalds.ee/tooted/mctoast-peekoni-ja-juustuga/,1172,280,13,6.8,28,5.6,2.0,12,1.7,Catch Products
Kartulikook,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Potato-pie-2.png,https://mcdonalds.ee/tooted/kartulikook/,558,134,7.7,0.8,14,0.3,1.5,1,0.69,Hommikueine
McMuffin™ peekoni ja munaga,https://mcdonalds.ee/wp-content/uploads/2019/07/0000s_0000_McD_web2021_Beakfast-Muffin_BaconEgg.jpg,https://mcdonalds.ee/tooted/mcmuffin-peekoni-ja-munaga/,1327,317,15.00,6.8,26,2.2,1.9,18.0,1.30,Hommikueine
DeLuxe McMuffin™ kanaga,https://mcdonalds.ee/wp-content/uploads/2019/07/0000s_0010_McD_web2021_Beakfast-Muffin-ChickenDeluxe.jpg,https://mcdonalds.ee/tooted/deluxe-mcmuffin-kanaga/,1437,343,14.0,2.7,38,2.9,3.7,14.0,1.8,Hommikueine
